event_id,storm,CountyFIPS,t90,t90_censored,max_gust,mean_gust_7d,total_precip_7d,pressure_min_7d,max_customers_tracked,county_pop,event_start,min_dist_to_storm_km,matched_ibtracs_storm,storm_max_wind_center_in_conus_mps,storm_max_wind_near_conus_mps,year,county_gdp_real_2017_dollars,county_gdp_real_2017_per_capita
2017242N16333_2017-09-11 03:00:00,2017242N16333,12001,113.54142678347915,0,33.57631889163939,7.989727200386677,160.72545707390972,979.3423797242256,120854.0,284030,2017-09-11 03:00:00,33.96766455424454,2017242N16333,59.16106,59.16106,2017,13230632000.0,46581.81178044573
2017242N16333_2017-09-11 03:00:00,2017242N16333,12017,122.92148336376168,0,39.45761649679736,8.194532689005072,129.4141633414341,973.7942397251946,87682.0,162529,2017-09-11 03:00:00,7.104553617690877,2017242N16333,59.16106,59.16106,2017,3704389000.0,22792.17247383544
2017242N16333_2017-09-11 03:00:00,2017242N16333,12047,132.12262872628722,0,33.59822485511869,7.873274622635862,182.0455150686001,983.0063405885217,6475.0,13217,2017-09-11 03:00:00,26.757448918640893,2017242N16333,59.16106,59.16106,2017,472185000.0,35725.58069153363
2017242N16333_2017-09-11 03:00:00,2017242N16333,12069,166.97565789473666,0,39.14408603661508,7.949885876345948,128.8648486204498,978.0561218969684,149968.0,410139,2017-09-11 03:00:00,71.80355339142164,2017242N16333,59.16106,59.16106,2017,9661005000.0,23555.440960259813
2017242N16333_2017-09-11 03:00:00,2017242N16333,12109,132.16413690476168,0,37.59778542093711,9.298829412956328,146.92156460645637,985.1818936610456,106779.0,306841,2017-09-11 03:00:00,126.5034431446902,2017242N16333,59.16106,59.16106,2017,8970720000.0,29235.72795030651
2017242N16333_2017-09-11 04:00:00,2017242N16333,12019,91.00329557157556,0,36.437456351060135,8.488040478473275,161.36228999955793,982.6076364683494,83951.0,226589,2017-09-11 04:00:00,91.68011464206862,2017242N16333,59.16106,59.16106,2017,5191434000.0,22911.235761665394
2017242N16333_2017-09-11 04:00:00,2017242N16333,12053,113.29313647246585,0,42.611528844179226,8.067403815211515,137.18096618221176,973.0785060356496,94931.0,206896,2017-09-11 04:00:00,39.23396212113386,2017242N16333,59.16106,59.16106,2017,4036623000.0,19510.396527724075
2017242N16333_2017-09-11 04:00:00,2017242N16333,12119,122.47415824915804,0,40.881807798342784,7.699343727179897,137.41894770696732,975.0032136496112,71787.0,144970,2017-09-11 04:00:00,40.5309214540484,2017242N16333,59.16106,59.16106,2017,3208200000.0,22130.0958819066
2017242N16333_2017-09-11 05:00:00,2017242N16333,12007,151.98207547169807,0,34.51330017339989,7.986167158120132,168.18907788237104,981.182261782787,9843.0,27313,2017-09-11 05:00:00,64.80621330819902,2017242N16333,59.16106,59.16106,2017,654602000.0,23966.682532127557
2017242N16333_2017-09-11 05:00:00,2017242N16333,12031,105.8221225929736,0,38.96708894794376,9.520305193062653,163.18256871189274,985.4359378422782,441599.0,1016536,2017-09-11 05:00:00,128.384557669037,2017242N16333,59.16106,59.16106,2017,62868205000.0,61845.52735958195
2017242N16333_2017-09-11 07:00:00,2017242N16333,12003,137.23333333333332,0,35.97570651915015,7.96013189377784,185.9407311797025,982.5883370535714,11266.0,27803,2017-09-11 07:00:00,75.75938181296655,2017242N16333,59.16106,59.16106,2017,664447000.0,23898.392259828077
2017242N16333_2017-09-11 07:00:00,2017242N16333,12073,45.889243027888334,0,34.726072603974,11.588798806546423,104.82173908850764,990.4068481517328,24519.0,297369,2017-09-11 07:00:00,88.28155666020045,2017242N16333,59.16106,59.16106,2017,14927969000.0,50200.151999704074
2017242N16333_2017-09-11 08:00:00,2017242N16333,12039,57.285185185185,0,32.98252074949204,11.534230127021786,109.34344185622273,992.2154982507116,14999.0,43403,2017-09-11 08:00:00,113.34453478395147,2017242N16333,59.16106,59.16106,2017,1225492000.0,28235.191115821486
2017242N16333_2017-09-11 10:00:00,2017242N16333,12077,28.463247863247776,0,26.868268276545155,14.143106500690294,92.55515400645272,994.847556718384,3302.0,7603,2017-09-11 10:00:00,151.48557060986633,2017242N16333,59.16106,59.16106,2017,183216000.0,24097.85610943049
2017242N16333_2017-09-11 22:00:00,2017242N16333,12043,209.9374999999997,0,18.356985316069228,5.251853221839999,14.969862513142916,997.4126565047554,3354.0,12454,2017-09-11 22:00:00,53.63455029722118,2017242N16333,59.16106,59.16106,2017,277226000.0,22259.996788180506
2018280N18273_2018-10-09 00:00:00,2018280N18273,12063,551.4730287398672,0,22.274640911293822,8.129007238681679,56.87959723722065,986.1032854177564,14302.0,48211,2018-10-09 00:00:00,36.29261406774829,2018280N18273,72.02216,72.02216,2018,1322421000.0,27429.860405301693
2018280N18273_2018-10-10 13:00:00,2018280N18273,12077,376.3893617021275,0,29.221366813087915,7.125129236257156,72.76766639872426,988.212079186183,3310.0,7603,2018-10-10 13:00:00,50.37176913957673,2018280N18273,72.02216,72.02216,2018,180721000.0,23769.69617256346
2018280N18273_2018-10-10 13:00:00,2018280N18273,12129,129.91516709511555,0,30.008693422953293,7.543487354286134,71.00103186815977,993.613506875,15762.0,35178,2018-10-10 13:00:00,96.61650612755638,2018280N18273,72.02216,72.02216,2018,711375000.0,20222.1558928876
2018280N18273_2018-10-10 15:00:00,2018280N18273,12045,439.371951219512,0,30.97727404729901,8.19732583506004,93.41737167056245,986.8047144846796,14473.0,15314,2018-10-10 15:00:00,27.13490890520116,2018280N18273,72.02216,72.02216,2018,389414000.0,25428.627399764922
