event_id,storm,CountyFIPS,county,event_start,duration_hours,county_pop,pre_outage_tracked_customers,days_since_data_start,n_periods,integral,pop_hours_supply_lost,duration_days,year,month,max_gust,mean_gust_7d,total_precip_7d,pressure_min_7d,weather_hours_available,weather_hours_used,t90_lastcross,censored_lastcross,crossing_time_lastcross,t50,t50_censored,peak_outage_clean,threshold_used_t90,threshold_used_t50,crossing_time_t50,t90,t90_censored
12127_2017-09-11 01:00:00,2017242N16333,12127,Volusia,2017-09-11 01:00:00,187,579192,261351.0,253.0,187,65.9369437972425,38190150.3518125,7.79166666666667,2017,9,36.8481420062967,8.836308807389246,107.73642242868151,984.5824931312546,211,168,160.34128586609972,0,2017-09-17 17:20:28.629117959,98.51044975106805,0,0.7224537116751036,0.1,0.3612268558375518,2017-09-15 03:30:37.619103845,160.34128586609972,0
12101_2017-09-11 01:00:00,2017242N16333,12101,Pasco,2017-09-11 01:00:00,136,608794,250797.0,253.0,136,41.7020677359474,25387968.6252383,5.66666666666667,2017,9,41.70996387439667,8.468801712012205,150.1088411087852,972.7591256119948,160,160,123.22296914803277,0,2017-09-16 04:13:22.688932918,80.17979669804528,0,0.5904701039454145,0.1,0.2952350519727073,2017-09-14 09:10:47.268112963,123.22296914803277,0
12083_2017-09-11 01:00:00,2017242N16333,12083,Marion,2017-09-11 01:00:00,197,396415,138863.0,253.0,197,70.672581490682,28015671.3916287,8.20833333333333,2017,9,34.11790983244758,7.880155841033531,145.78067060587546,977.174596322056,221,168,170.84503165022807,0,2017-09-18 03:50:42.113940821,109.25105932203388,0,0.72406616593333,0.1,0.362033082966665,2017-09-15 14:15:03.813559322,170.84503165022807,0
12123_2017-09-11 02:00:00,2017242N16333,12123,Taylor,2017-09-11 02:00:00,135,21283,1604.0,253.041666666667,135,45.961315901204,978194.686325324,5.625,2017,9,34.09334099879031,8.81434055505948,121.74696566147702,985.838708247951,159,159,124.71715296198028,0,2017-09-16 06:43:01.750663129,47.51966292134806,0,0.7864824554517623,0.1,0.39324122772588116,2017-09-13 01:31:10.786516853,124.71715296198028,0
12069_2017-09-11 03:00:00,2017242N16333,12069,Lake,2017-09-11 03:00:00,207,410139,149938.0,253.083333333333,207,60.752518202616,24916977.0631027,8.625,2017,9,39.14408603661508,7.949885876345948,128.8648486204498,978.0561218969684,231,168,166.97565789473666,0,2017-09-18 01:58:32.368421052,92.15606936416167,0,0.6853366057970628,0.1,0.3426683028985314,2017-09-14 23:09:21.849710982,166.97565789473666,0
12047_2017-09-11 03:00:00,2017242N16333,12047,Hamilton,2017-09-11 03:00:00,145,13217,3302.0,253.083333333333,145,60.7836148143837,803377.03700171,6.04166666666667,2017,9,33.59822485511869,7.873274622635862,182.04551506860014,983.0063405885217,169,168,132.12262872628722,0,2017-09-16 15:07:21.463414634,89.09908689296,0,0.9104247104247104,0.1,0.4552123552123552,2017-09-14 20:05:56.712814656,132.12262872628722,0
12017_2017-09-11 03:00:00,2017242N16333,12017,Citrus,2017-09-11 03:00:00,168,162529,87665.0,253.083333333333,168,59.5509419809906,9678755.04922842,7.0,2017,9,39.45761649679736,8.194532689005072,129.4141633414341,973.7942397251946,192,168,122.92148336376167,0,2017-09-16 05:55:17.340109542,86.214499085225,0,0.7126903553299493,0.1,0.35634517766497464,2017-09-14 17:12:52.196706810,122.92148336376167,0
12109_2017-09-11 03:00:00,2017242N16333,12109,St. Johns,2017-09-11 03:00:00,163,306841,106680.0,253.083333333333,163,48.7164072609951,14948191.120371,6.79166666666667,2017,9,37.59778542093711,9.298829412956328,146.92156460645637,985.1818936610456,187,168,132.16413690476168,0,2017-09-16 15:09:50.892857142,48.15927821486111,0,0.8159039352068843,0.1,0.40795196760344216,2017-09-13 03:09:33.401573500,132.16413690476168,0
12001_2017-09-11 03:00:00,2017242N16333,12001,Alachua,2017-09-11 03:00:00,134,284030,120032.0,253.083333333333,134,29.2629568023201,8311557.62056297,5.58333333333333,2017,9,33.57631889163939,7.989727200386677,160.72545707390972,979.3423797242256,158,158,113.54142678347917,0,2017-09-15 20:32:29.136420525,45.05247011478722,0,0.5485361200962097,0.1,0.27426806004810483,2017-09-13 00:03:08.892413234,113.54142678347917,0
12019_2017-09-11 04:00:00,2017242N16333,12019,Clay,2017-09-11 04:00:00,133,226589,83949.0,253.125,133,38.1403132085061,8642175.42960219,5.54166666666667,2017,9,36.437456351060135,8.488040478473275,161.36228999955793,982.6076364683494,157,157,91.00329557157555,0,2017-09-14 23:00:11.864057672,35.65242163923222,0,0.8346416361925408,0.1,0.4173208180962704,2017-09-12 15:39:08.717901236,91.00329557157555,0
13039_2017-09-11 04:00:00,2017242N16333,13039,Camden,2017-09-11 04:00:00,119,57013,15790.0,253.125,119,53.2059394225794,3033430.22429952,4.95833333333333,2017,9,41.00648326289897,9.566831165881338,189.52672059258103,989.5053730867348,143,143,115.49999999999972,0,2017-09-15 23:29:59.999999999,45.114462209302225,0,1.0,0.1,0.5,2017-09-13 01:06:52.063953488,115.49999999999972,0
12119_2017-09-11 04:00:00,2017242N16333,12119,Sumter,2017-09-11 04:00:00,154,144970,71787.0,253.125,154,25.9524392164142,3762325.11320357,6.41666666666667,2017,9,40.881807798342784,7.699343727179897,137.41894770696732,975.0032136496112,178,168,122.47415824915805,0,2017-09-16 06:28:26.969696969,79.1517994678614,0,0.3188878209146503,0.1,0.15944391045732514,2017-09-14 11:09:06.478084301,122.47415824915805,0
