event_id,storm,CountyFIPS,county,event_start,duration_hours,county_pop,pre_outage_tracked_customers,days_since_data_start,n_periods,integral,pop_hours_supply_lost,duration_days,year,month,max_gust,mean_gust_7d,total_precip_7d,pressure_min_7d,weather_hours_available,weather_hours_used,min_dist_to_storm_km,matched_ibtracs_storm,county_gdp_real_2017_dollars,county_gdp_real_2017_per_capita
13201_2018-10-10 21:00:00,2018280N18273,13201,Miller,2018-10-10 21:00:00,193,5807,1181.0,647.833333333333,193,124.098465667905,720639.790133522,8.04166666666667,2018,10,25.62284266430398,6.520851367810745,82.12071944001143,983.1053866621376,217,168,25.262853832756928,2018280N18273,201361000.0,34675.56397451352
13243_2018-10-10 21:00:00,2018280N18273,13243,Randolph,2018-10-10 21:00:00,143,6116,3421.0,647.833333333333,143,88.8843710471687,543616.813324484,5.95833333333333,2018,10,23.960138423181636,6.658487019293215,104.61743004372589,984.5767708333332,167,167,37.80629707960299,2018280N18273,178135000.0,29126.062786134728
01061_2018-10-10 21:00:00,2018280N18273,01061,Geneva,2018-10-10 21:00:00,78,26783,15326.0,647.833333333333,78,23.9522455827024,641512.993441519,3.25,2018,10,22.279770131447947,7.591313240991943,63.15503644559629,991.3307667286244,102,102,87.56940765935825,2018280N18273,535790000.0,20004.85382518762
13071_2018-10-10 21:00:00,2018280N18273,13071,Colquitt,2018-10-10 21:00:00,77,45762,2440.0,647.833333333333,77,47.1029680063458,2155526.0219064,3.20833333333333,2018,10,28.27881879022676,9.253697276131584,46.312176719728896,990.80505270762,101,101,77.6794995643217,2018280N18273,1464058000.0,31992.876185481404
13239_2018-10-10 21:00:00,2018280N18273,13239,Quitman,2018-10-10 21:00:00,123,2249,1180.0,647.833333333333,123,49.4955174658241,111315.418780638,5.125,2018,10,21.05312968211569,6.884852411346258,86.33801150343317,987.2288893312102,147,147,63.86240440078673,2018280N18273,41356000.0,18388.617163183637
01067_2018-10-10 21:00:00,2018280N18273,01067,Henry,2018-10-10 21:00:00,79,17655,7563.0,647.833333333333,79,33.547458541466,592280.380549583,3.29166666666667,2018,10,22.07333413759867,7.961260494789132,68.11807141396761,987.4758969455296,103,103,63.378874667874655,2018280N18273,432263000.0,24483.885584820164
01045_2018-10-10 22:00:00,2018280N18273,01045,Dale,2018-10-10 22:00:00,44,49544,18575.0,647.875,44,7.53244547026282,373187.478378701,1.83333333333333,2018,10,22.404614435301884,9.90333074652681,58.22884741549691,990.3027983940972,68,68,80.17706471740733,2018280N18273,2790050000.0,56314.58905215566
13141_2018-10-10 22:00:00,2018280N18273,13141,Hancock,2018-10-10 22:00:00,46,8387,5497.0,647.875,46,9.85753613958554,82675.1556027039,1.91666666666667,2018,10,20.675220847129825,10.258879519218489,44.24866392315986,988.9400052083332,70,70,51.9148612567439,2018280N18273,164256000.0,19584.595206867773
13205_2018-10-10 22:00:00,2018280N18273,13205,Mitchell,2018-10-10 22:00:00,309,21116,2905.0,647.875,309,154.841529879081,3269633.74492667,12.875,2018,10,29.431692420459186,7.006849580042349,73.4295099992763,986.6233998783298,333,168,42.10516612400222,2018280N18273,709268000.0,33589.126728547075
13079_2018-10-10 22:00:00,2018280N18273,13079,Crawford,2018-10-10 22:00:00,28,12140,5069.0,647.875,28,5.4963503649635,66725.6934306569,1.16666666666667,2018,10,22.00438116214893,12.381393148065861,74.31343258904684,989.568103298611,52,52,63.215692482989354,2018280N18273,161803000.0,13328.088962108732
