event_id,CountyFIPS,storm,n,mae,rmse,forecast_horizon_hours
12067_2017-09-09 20:00:00,12067,2017242N16333,131.0,0.4679860175536984,0.5129624323748566,72
12043_2022-09-28 22:00:00,12043,2022263N10313,63.0,0.49475465785667117,0.5250607117597552,72
12129_2018-10-10 13:00:00,12129,2018280N18273,96.0,0.5095150246153307,0.5426008756165054,72
12125_2017-09-10 11:00:00,12125,2017242N16333,73.0,0.5194772862636688,0.5554668293567724,72
12073_2018-10-10 18:00:00,12073,2018280N18273,86.0,0.5253018254794318,0.5647696498474799,72
12085_2017-09-11 00:00:00,12085,2017242N16333,56.0,0.5518435875964214,0.5600031882546369,72
12079_2017-09-10 02:00:00,12079,2017242N16333,64.0,0.5539895660926987,0.5859739158156942,72
12037_2018-10-10 16:00:00,12037,2018280N18273,91.0,0.5598939526146175,0.6166396437729009,72
12055_2022-09-28 23:00:00,12055,2022263N10313,58.0,0.5700734186715778,0.6029877436175877,72
12093_2022-09-29 04:00:00,12093,2022263N10313,8.0,0.697477984131136,0.7115201828794574,72
